len mPid  thresh
0 1 1
0.005 0.99772656249482  0.9892473
0.01 0.995496021850748  0.9846154
0.015 0.99335857391229  0.9795222
0.02 0.991182258313183  0.9754098
0.025 0.989089738365107  0.9716024
0.03 0.987040357912771  0.9677419
0.035 0.985029775991769  0.9638783
0.04 0.983017855117589  0.9606557
0.045 0.981047416996505  0.9574944
0.05 0.979174398074637  0.954023
0.055 0.977392187401736  0.951049
0.06 0.975566310518902  0.9479638
0.065 0.973741781995137  0.9452736
0.07 0.971985914141442  0.942623
0.075 0.970201266842073  0.9396825
0.08 0.968516579913781  0.9367089
0.085 0.966767739585973  0.9342105
0.09 0.965084496845254  0.9312977
0.095 0.963431146338581  0.9285714
0.1 0.961837712361016  0.9262295
0.105 0.960302898560655  0.9238095
0.11 0.958776330573036  0.9217391
0.115 0.957226611971493  0.9189189
0.12 0.955677271516132  0.9166667
0.125 0.954213334797765  0.9148936
0.13 0.952757335539249  0.9127517
0.135 0.951275817135606  0.9103774
0.14 0.949887061510182  0.9082569
0.145 0.948394797884626  0.90625
0.15 0.946967354574112  0.9042553
0.155 0.94556674881356  0.9015152
0.16 0.944147227446976  0.9
0.165 0.942716242635732  0.8972713
0.17 0.941436575557971  0.8955224
0.175 0.940113052306849  0.8935837
0.18 0.938785596203737  0.8918919
0.185 0.937540340668917  0.8904035
0.19 0.936269668373646  0.8888889
0.195 0.934988010351409  0.8866667
0.2 0.93371742313337  0.8850575
0.205 0.932482468583361  0.8829787
0.21 0.931227047595109  0.8814433
0.215 0.929982197660446  0.8793103
0.22 0.928732183797539  0.8777778
0.225 0.927501118183872  0.8761062
0.23 0.926184840306271  0.8739003
0.235 0.924937302589279  0.8720201
0.24 0.92371452492526  0.8699187
0.245 0.92250644417822  0.8684211
0.25 0.921324269945129  0.8666667
0.255 0.92018197647353  0.8651685
0.26 0.919030574505421  0.8636364
0.265 0.917935674373213  0.8617886
0.27 0.916806995480425  0.86
0.275 0.915744200097322  0.8588235
0.28 0.914600004620946  0.8571429
0.285 0.913470125445699  0.8560606
0.29 0.912355136135008  0.8544304
0.295 0.911232085755109  0.8526316
0.3 0.91008073383421  0.8512397
0.305 0.90898155396095  0.85
0.31 0.907844416972422  0.8487805
0.315 0.906754604370823  0.8469388
0.32 0.905671608950365  0.8454976
0.325 0.904556271075532  0.8444444
0.33 0.903525381186512  0.8432836
0.335 0.902418138707428  0.8411215
0.34 0.901229024480469  0.8389262
0.345 0.900150335011124  0.8380952
0.35 0.898982318417393  0.8363636
0.355 0.897954163906228  0.8352941
0.36 0.896954588213634  0.8333333
0.365 0.895885481298619  0.8322072
0.37 0.894820148908867  0.8310502
0.375 0.89378609438179  0.8296296
0.38 0.892822211994636  0.827957
0.385 0.891819819651105  0.8269231
0.39 0.890883048056366  0.8258706
0.395 0.889915127817588  0.8242424
0.4 0.888943879131595  0.8230088
0.405 0.887958829564403  0.8222222
0.41 0.886992654461138  0.8206522
0.415 0.886024862084357  0.819209
0.42 0.88507041717356  0.8181818
0.425 0.884140577926191  0.8169014
0.43 0.883166896866675  0.8157895
0.435 0.882246023084265  0.8144989
0.44 0.881322060570869  0.8133333
0.445 0.88025269392628  0.8120301
0.45 0.879309681624356  0.8100358
0.455 0.878388587586641  0.8085106
0.46 0.877422314454229  0.8074205
0.465 0.87647475171146  0.8057851
0.47 0.875517636879752  0.804878
0.475 0.874631704089139  0.8032787
0.48 0.873682076050721  0.8022599
0.485 0.87275691549101  0.8012821
0.49 0.871889206289331  0.8
0.495 0.870992632327426  0.7983871
0.5 0.870084710208424  0.7974684
0.505 0.869162110231974  0.7952756
0.51 0.868274314123012  0.7938144
0.515 0.867353726368449  0.7926829
0.52 0.866485544266505  0.7916667
0.525 0.865618222573455  0.7901235
0.53 0.864739030762647  0.7891566
0.535 0.863826909499383  0.7873303
0.54 0.862906715601309  0.7865169
0.545 0.8620294410646  0.7860082
0.55 0.861082533386618  0.783871
0.555 0.860237203653824  0.7826087
0.56 0.859361248020573  0.7816092
0.565 0.858466583725919  0.7801047
0.57 0.857631566557423  0.778481
0.575 0.856776756638686  0.7777778
0.58 0.855857555187205  0.7763158
0.585 0.854993137264527  0.7748344
0.59 0.854114939180687  0.7738095
0.595 0.85325975388448  0.7726397
0.6 0.852377652259627  0.7714286
0.605 0.851563910527281  0.7698413
0.61 0.850807188741869  0.76875
0.615 0.849970088103523  0.7679012
0.62 0.849135327432293  0.7666667
0.625 0.848324885586352  0.7647059
0.63 0.847591265583731  0.7636364
