len mPid  thresh
0 1 1
0.005 0.997662322779657  0.988764
0.01 0.995415634821009  0.9840426
0.015 0.993196279132105  0.9779412
0.02 0.990918802429129  0.9732143
0.025 0.988678512608526  0.9684211
0.03 0.986469808894065  0.9638554
0.035 0.984304443845427  0.9594595
0.04 0.982159598107165  0.9550562
0.045 0.980031680707898  0.9509202
0.05 0.977924175967692  0.9466667
0.055 0.975834467688774  0.9428571
0.06 0.973714163545114  0.9382716
0.065 0.971630659431902  0.9342105
0.07 0.96961611982311  0.9305556
0.075 0.967550831184846  0.9263158
0.08 0.965479711526882  0.9224138
0.085 0.963420565969728  0.9186047
0.09 0.961427459093401  0.9153846
0.095 0.959399405747301  0.9108911
0.1 0.95737941543784  0.9067797
0.105 0.955379089176844  0.9035088
0.11 0.953393930542305  0.9
0.115 0.951471944082079  0.8961039
0.12 0.949568651379936  0.8928571
0.125 0.947639652845953  0.8895522
0.13 0.945751805607277  0.8857143
0.135 0.943834232342498  0.8823529
0.14 0.941922342514264  0.8783784
0.145 0.94004406514624  0.8757764
0.15 0.938182413079715  0.872093
0.155 0.936345877683053  0.8688525
0.16 0.934438026532775  0.8660287
0.165 0.93257604599367  0.8630952
0.17 0.930759928519124  0.8596491
0.175 0.928912641084738  0.8566434
0.18 0.927096297272168  0.8529412
0.185 0.925329307928335  0.85
0.19 0.923521930669273  0.8469945
0.195 0.92178046587108  0.8436214
0.2 0.91996884427971  0.8403756
0.205 0.91816392144086  0.8369565
0.21 0.916411841376842  0.8333333
0.215 0.914625764955259  0.8306452
0.22 0.912842429301716  0.8275862
0.225 0.911082203034493  0.8245614
0.23 0.909312352632679  0.8216561
0.235 0.907517994605488  0.8181818
0.24 0.905803692007588  0.815534
0.245 0.904056740580712  0.8125
0.25 0.902341440330593  0.8097561
0.255 0.900618530355285  0.8061224
0.26 0.898930969826851  0.8032787
0.265 0.897222424105972  0.8
0.27 0.895501023531833  0.7970149
0.275 0.893851889573924  0.7942122
0.28 0.892145790279876  0.791411
0.285 0.890463504953142  0.7882353
0.29 0.888825105713529  0.7850467
0.295 0.887159247598821  0.7821782
0.3 0.885472241606294  0.7795699
0.305 0.883848530947484  0.7777778
0.31 0.882122424917547  0.7741935
0.315 0.880524296050364  0.7714286
0.32 0.878887165865241  0.76875
0.325 0.877325399903538  0.7659574
0.33 0.875731908611274  0.7631579
0.335 0.874171453523746  0.7608696
0.34 0.872535919004027  0.7578947
0.345 0.870927657035592  0.7555556
0.35 0.869324959023378  0.7523364
0.355 0.867771864701619  0.75
0.36 0.866199138496268  0.7471264
0.365 0.864621527138179  0.7440476
0.37 0.86302346853007  0.7412587
0.375 0.86147254794621  0.7394366
0.38 0.859908023058112  0.7363636
0.385 0.858325839203724  0.7337278
0.39 0.856786656173447  0.7310924
0.395 0.855265384389134  0.7283951
0.4 0.853708659502656  0.7260274
0.405 0.852170510414779  0.7241379
0.41 0.850615596636602  0.7216495
0.415 0.849092674982467  0.7189542
0.42 0.847594468169954  0.7162162
0.425 0.846049442852643  0.7142857
0.43 0.844576915509346  0.7113821
0.435 0.843055639021263  0.7088608
0.44 0.841545097926017  0.7065217
0.445 0.840022535196199  0.7041801
0.45 0.838520590436231  0.7017544
0.455 0.836990844400737  0.699187
0.46 0.835503809646411  0.6968085
0.465 0.834037504956818  0.6942149
0.47 0.832506454232681  0.6923077
0.475 0.831020484600848  0.6891892
0.48 0.82957948397836  0.6866667
0.485 0.828140754157578  0.6846473
0.49 0.826686650042373  0.6823529
0.495 0.825290386662861  0.68
0.5 0.82379274760074  0.6778523
0.505 0.822335156546105  0.6752577
0.51 0.820943758266859  0.6730769
0.515 0.819553324594561  0.6708861
0.52 0.818147100136492  0.6690647
0.525 0.816765514357077  0.6666667
0.53 0.815311479255812  0.6638655
0.535 0.813868516553266  0.6623377
0.54 0.812462626988823  0.66
0.545 0.811042325370171  0.6577181
0.55 0.809614648955876  0.6551724
0.555 0.808166209685402  0.6533333
0.56 0.806823251113754  0.6507937
0.565 0.805430256992303  0.6484375
0.57 0.804047196120561  0.6460177
0.575 0.802682072308714  0.6440678
0.58 0.801328636873255  0.6421053
0.585 0.799985737121819  0.64
0.59 0.798671129722087  0.6373626
0.595 0.797347334920768  0.6359833
0.6 0.796008719151213  0.6335878
0.605 0.79463635387543  0.6315789
0.61 0.793340082333597  0.6298701
0.615 0.792025062144996  0.6282051
0.62 0.79073338539271  0.626087
0.625 0.789425784185893  0.6238532
0.63 0.78807996783131  0.6219512
0.635 0.786753696156252  0.6203704
0.64 0.785471457882789  0.618705
0.645 0.784179247721472  0.6164384
0.65 0.782936629480006  0.6144578
0.655 0.781648378510548  0.6132075
0.66 0.78039349629932  0.6104651
0.665 0.77908773763393  0.6085106
0.67 0.777760831214301  0.6066667
0.675 0.776545017091548  0.6043956
0.68 0.775271298462085  0.6025641
0.685 0.773969025949935  0.6
0.69 0.772709016335783  0.5985401
0.695 0.771484264813268  0.5967742
0.7 0.77017598610324  0.594697
0.705 0.768932979626959  0.5931559
0.71 0.767678310229701  0.5915493
0.715 0.766469219345624  0.5897436
0.72 0.765205278544946  0.5882353
0.725 0.763997369403249  0.5865385
0.73 0.762749496713293  0.5840336
0.735 0.7615166888657  0.5822785
0.74 0.760292885177216  0.5804598
0.745 0.759047392701516  0.578125
0.75 0.75780410516813  0.5769231
0.755 0.756606352195793  0.575
0.76 0.755436715360522  0.5728155
0.765 0.754256896602343  0.5705521
0.77 0.75307367687748  0.5695364
0.775 0.751848805602978  0.5681818
0.78 0.750629113507286  0.5656566
0.785 0.749442871864835  0.5633803
0.79 0.748298452230114  0.5617978
0.795 0.747112295122451  0.56
0.8 0.745877746390614  0.5585586
0.805 0.744663059906367  0.5575221
0.81 0.74348295145144  0.5555556
0.815 0.742354503603165  0.5533981
0.82 0.741204588599794  0.5515152
0.825 0.740053325168931  0.55
0.83 0.738866945760035  0.5480769
0.835 0.737742989423217  0.5465116
0.84 0.736616999830668  0.5446429
0.845 0.735515443901257  0.5432099
0.85 0.734387402666348  0.5416667
0.855 0.733253977954788  0.5401786
0.86 0.73215741079458  0.5384615
0.865 0.731021770043607  0.5357143
0.87 0.729887430222815  0.5345912
0.875 0.728727193407633  0.5330739
0.88 0.72761527186866  0.53125
0.885 0.726503748451912  0.5301205
0.89 0.725392405492408  0.5280899
0.895 0.72435956064163  0.5268817
0.9 0.723247223600448  0.5248227
0.905 0.72216231155451  0.5232558
0.91 0.721076185265485  0.522293
0.915 0.719960764829339  0.5211268
0.92 0.71885416901667  0.52
0.925 0.717801112216066  0.5179487
0.93 0.716916510886359  0.5169492
0.935 0.715840110097451  0.5151515
0.94 0.714802964034603  0.5135135
0.945 0.713718576200938  0.5121951
0.95 0.712658986847796  0.5106383
0.955 0.711534882126909  0.5092593
0.96 0.710505462633506  0.5070423
0.965 0.709468887341257  0.5061728
0.97 0.708453968899949  0.5050505
0.975 0.707421828997297  0.503876
0.98 0.706398132665685  0.5029586
0.985 0.705354189381573  0.5
0.99 0.704291606002421  0.5
0.995 0.703285153051484  0.5
1 0.702292360881166  0.4969325
