branch id pid
Alpaca-Dolphin chr1.16156 0.99375
Alpaca-Dolphin chr1.16157 0.992753623188406
Alpaca-Dolphin chr1.16158 0.984615384615385
Alpaca-Dolphin chr1.16159 0.984042553191489
Alpaca-Dolphin chr1.16160 0.980132450331126
Alpaca-Dolphin chr1.16161 0.994897959183674
Alpaca-Dolphin chr1.16162 1
Alpaca-Dolphin chr1.16163 0.983193277310924
Alpaca-Dolphin chr1.16164 1
Alpaca-Dolphin chr1.16165 1
Alpaca-Dolphin chr1.16166 0.994444444444444
Alpaca-Dolphin chr1.16167 0.988505747126437
Alpaca-Dolphin chr1.16168 0.988338192419825
Alpaca-Dolphin chr1.4977 1
Alpaca-Dolphin chr1.4978 1
Alpaca-Dolphin chr1.4979 1
Alpaca-Dolphin chr1.4983 1
Alpaca-Dolphin chr1.4984 0.990950226244344
Alpaca-Dolphin chr1.8117 0.990016638935108
Alpaca-Dolphin chr1.8123 0.99375
Alpaca-Dolphin chr1.8124 0.977272727272727
Alpaca-Dolphin chr1.8125 1
Alpaca-Dolphin chr1.8126 1
Alpaca-Dolphin chr1.8127 1
Alpaca-Dolphin chr1.8128 0.987654320987654
Alpaca-Dolphin chr1.8129 0.994444444444444
Alpaca-Dolphin chr1.8132 0.990196078431373
Alpaca-Dolphin chr1.8133 0.980392156862745
Alpaca-Dolphin chr1.27779 0.992878942014242
Alpaca-Dolphin chr1.27780 1
Alpaca-Dolphin chr1.989 1
Alpaca-Dolphin chr1.990 0.988888888888889
Alpaca-Dolphin chr1.991 0.994974874371859
Alpaca-Dolphin chr1.992 0.99438202247191
Alpaca-Dolphin chr1.995 0.995633187772926
Alpaca-Dolphin chr1.996 1
Alpaca-Dolphin chr1.997 0.989247311827957
Alpaca-Dolphin chr1.999 0.993975903614458
Alpaca-Dolphin chr1.1000 0.984615384615385
Alpaca-Dolphin chr1.1001 0.990740740740741
Alpaca-Dolphin chr1.1003 1
Alpaca-Dolphin chr1.1004 0.995260663507109
Alpaca-Dolphin chr1.1008 0.990528808208366
Alpaca-Dolphin chr1.1011 1
Alpaca-Dolphin chr1.1012 0.986111111111111
Alpaca-Dolphin chr1.1013 1
Alpaca-Dolphin chr1.1014 1
Alpaca-Dolphin chr1.1015 0.971910112359551
Alpaca-Dolphin chr1.1017 1
Alpaca-Dolphin chr1.1028 0.994219653179191
Alpaca-Dolphin chr1.1029 0.988372093023256
Alpaca-Dolphin chr1.25080 1
Alpaca-Dolphin chr1.25081 1
Alpaca-Dolphin chr1.25089 0.992248062015504
Alpaca-Dolphin chr1.25093 1
Alpaca-Dolphin chr1.25097 1
Alpaca-Dolphin chr1.25098 0.992063492063492
Alpaca-Dolphin chr1.25100 1
Alpaca-Dolphin chr1.25104 1
Alpaca-Dolphin chr1.25135 0.993377483443709
Alpaca-Dolphin chr1.25136 0.978723404255319
Alpaca-Dolphin chr1.25140 0.992957746478873
Alpaca-Dolphin chr1.25141 1
Alpaca-Dolphin chr1.25142 1
Alpaca-Dolphin chr1.25143 1
Alpaca-Dolphin chr1.25144 1
Alpaca-Dolphin chr1.25145 0.993670886075949
Alpaca-Dolphin chr1.25147 1
Alpaca-Dolphin chr1.25148 1
Alpaca-Dolphin chr1.25149 0.979274611398964
Alpaca-Dolphin chr1.25150 1
Alpaca-Dolphin chr1.17010 0.994047619047619
Alpaca-Dolphin chr1.17011 1
Alpaca-Dolphin chr1.17012 1
Alpaca-Dolphin chr1.17013 1
Alpaca-Dolphin chr1.17014 1
Alpaca-Dolphin chr1.17015 0.987878787878788
Alpaca-Dolphin chr1.17016 0.995049504950495
Alpaca-Dolphin chr1.14880 0.990990990990991
Alpaca-Dolphin chr1.14881 0.989473684210526
Alpaca-Dolphin chr1.14882 0.990990990990991
Alpaca-Dolphin chr1.14883 0.990521327014218
Alpaca-Dolphin chr1.14884 0.984848484848485
Alpaca-Dolphin chr1.14885 1
Alpaca-Dolphin chr1.14888 0.989473684210526
Alpaca-Dolphin chr1.14889 1
Alpaca-Dolphin chr1.14890 1
Alpaca-Dolphin chr1.14891 1
Alpaca-Dolphin chr1.14892 1
Alpaca-Dolphin chr1.14893 1
Alpaca-Dolphin chr1.14894 0.98876404494382
Alpaca-Dolphin chr1.14895 1
Alpaca-Dolphin chr1.14896 1
Alpaca-Dolphin chr1.14897 0.991935483870968
Alpaca-Dolphin chr1.14898 1
Alpaca-Dolphin chr1.14899 1
Alpaca-Dolphin chr1.14900 1
Alpaca-Dolphin chr1.14901 0.988372093023256
Alpaca-Dolphin chr1.14902 1
Alpaca-Dolphin chr1.14903 0.993288590604027
Alpaca-Dolphin chr1.14904 1
Alpaca-Dolphin chr1.14905 0.989583333333333
Alpaca-Dolphin chr1.14906 1
Alpaca-Dolphin chr1.14907 1
Alpaca-Dolphin chr1.14908 1
Alpaca-Dolphin chr1.14909 0.993939393939394
Alpaca-Dolphin chr1.14910 0.991228070175439
Alpaca-Dolphin chr1.14911 1
Alpaca-Dolphin chr1.14912 1
Alpaca-Dolphin chr1.3969 0.992200194995125
Alpaca-Dolphin chr1.3970 0.986666666666667
Alpaca-Dolphin chr1.3971 1
Alpaca-Dolphin chr1.3972 1
Alpaca-Dolphin chr1.3973 0.983333333333333
Alpaca-Dolphin chr1.3974 0.972222222222222
Alpaca-Dolphin chr1.3975 1
Alpaca-Dolphin chr1.3976 1
Alpaca-Dolphin chr1.3977 0.992307692307692
Alpaca-Dolphin chr1.3978 0.992424242424242
Alpaca-Dolphin chr1.3979 0.983402489626556
Alpaca-Dolphin chr1.3980 0.987179487179487
Alpaca-Dolphin chr1.3981 1
Alpaca-Dolphin chr1.7222 1
Alpaca-Dolphin chr1.7223 0.981818181818182
Alpaca-Dolphin chr1.7224 1
Alpaca-Dolphin chr1.7225 1
Alpaca chr1.16156 0.98125
Alpaca chr1.16157 0.992753623188406
Alpaca chr1.16158 0.953846153846154
Alpaca chr1.16159 0.98936170212766
Alpaca chr1.16160 0.993377483443709
Alpaca chr1.16161 0.979591836734694
Alpaca chr1.16162 0.972413793103448
Alpaca chr1.16163 0.974789915966387
Alpaca chr1.16164 0.975409836065574
Alpaca chr1.16165 0.969072164948454
Alpaca chr1.16166 0.983333333333333
Alpaca chr1.16167 0.973180076628352
Alpaca chr1.16168 0.962099125364432
Alpaca chr1.4977 1
Alpaca chr1.4978 0.97
Alpaca chr1.4979 0.95959595959596
Alpaca chr1.4983 0.982905982905983
Alpaca chr1.4984 0.959821428571429
Alpaca chr1.8117 0.96523178807947
Alpaca chr1.8123 0.98125
Alpaca chr1.8124 0.954545454545455
Alpaca chr1.8125 0.991452991452991
Alpaca chr1.8126 0.989583333333333
Alpaca chr1.8127 0.991379310344828
Alpaca chr1.8128 0.987654320987654
Alpaca chr1.8129 0.944444444444444
Alpaca chr1.8132 0.970588235294118
Alpaca chr1.8133 0.980392156862745
Alpaca chr1.27779 0.967446592065107
Alpaca chr1.27780 0.952380952380952
Alpaca chr1.989 1
Alpaca chr1.990 0.966666666666667
Alpaca chr1.991 0.979899497487437
Alpaca chr1.992 0.98314606741573
Alpaca chr1.995 0.982532751091703
Alpaca chr1.996 1
Alpaca chr1.997 0.974910394265233
Alpaca chr1.999 0.951807228915663
Alpaca chr1.1000 0.984615384615385
Alpaca chr1.1001 0.925925925925926
Alpaca chr1.1003 0.995169082125604
Alpaca chr1.1004 0.976303317535545
Alpaca chr1.1008 0.976322020520916
Alpaca chr1.1011 0.966216216216216
Alpaca chr1.1012 0.972222222222222
Alpaca chr1.1013 0.970588235294118
Alpaca chr1.1014 0.978835978835979
Alpaca chr1.1015 0.960674157303371
Alpaca chr1.1017 0.971153846153846
Alpaca chr1.1028 1
