elementID numTraitLossSpecies numTraitPreservingSpecies numTraitLossBranches numTraitPreservingBranches PerfectMatchMargin GLS_Pvalue weightedPearsonCorrelationCoeff weightedPearsonCorrelation_Pvalue 
chr1.16156 2 28 2 56 -0.0437500000000001 3.2984269820564e-06 0.703776303915812 3.6519359023183e-10
chr1.16157 2 28 2 56 0.0289855072463769 6.11154630373086e-14 0.771549892976401 6.9765303949475e-13
chr1.16159 2 28 2 56 -0.237837837837838 0.315593791985937 0.142944321435185 0.14217199192116
chr1.16160 2 28 2 56 0.006493506493507 4.16196179718378e-10 0.830745035692627 3.70997949092713e-16
chr1.16161 2 28 2 56 -0.010204081632653 6.25678065502663e-07 0.74756496786655 7.99608770638871e-12
chr1.16162 2 28 2 56 -0.055172413793104 1.44414233843886e-05 0.351820173214349 0.00338132058253967
chr1.16163 2 28 2 56 -0.04014939309057 2.00306846449283e-06 0.743644052640149 1.16044303633729e-11
chr1.16164 2 28 2 56 0 6.06658246310528e-07 0.757285038931526 3.08453422010469e-12
chr1.16165 2 28 2 56 -0.053004269499115 5.12018373366342e-06 0.72605730712407 5.73306698214211e-11
chr1.16166 2 28 2 56 -0.022222222222222 2.03450783030453e-06 0.609849226680675 1.89055635052198e-07
chr1.16167 2 28 2 56 -0.070267279536942 7.97008421872301e-06 0.708114799131205 2.57473409933654e-10
chr1.16168 2 28 2 56 -0.042363886113886 5.4067655156593e-07 0.769915770053059 8.30584828573435e-13
chr1.4977 2 28 2 56 0.030534351145038 6.38390481665046e-16 0.817048257955503 2.7502383872523e-15
chr1.4978 2 28 2 56 -0.02 3.11544960011864e-07 0.722545456148928 7.76244422411751e-11
chr1.4979 2 28 2 56 -0.02020202020202 0.000319927963634655 0.252953046201741 0.0276771437147832
chr1.4983 2 28 2 56 -0.05072463768116 0.00688619971240519 0.430888789258425 0.000367940378499796
chr1.4984 2 28 2 56 -0.0226244343891411 1.11122889048886e-06 0.723484227256903 7.1415876898388e-11
chr1.8117 2 28 2 56 -0.040994038633183 1.69681916454254e-06 0.681140628213604 2.02709301862074e-09
chr1.8123 2 28 2 56 0.0875 5.13665796223471e-12 0.868395644886973 5.50907296960469e-19
chr1.8124 2 28 2 56 -0.079545454545455 0.0168950930461502 0.236714662039612 0.0368292820292256
chr1.8125 2 28 2 56 0.114979100380561 3.71121584773975e-10 0.863071155440065 1.56021378352157e-18
chr1.8126 2 28 2 56 -0.020833333333333 1.42821512475267e-06 0.434594896121362 0.000326898435213716
chr1.8127 2 28 2 56 -0.017241379310345 2.6462056183424e-07 0.747095689782469 8.36505614326811e-12
chr1.8128 2 28 2 56 -0.074074074074074 0.0629527169533 0.319147673843125 0.00731125423132505
chr1.8129 2 28 2 56 -0.111111111111112 0.000803116768855058 0.308366252027085 0.00926124964910502
chr1.8132 2 28 2 56 -0.0196078431372551 0.0008014660709395 0.269813183498799 0.0202675510347768
chr1.27779 2 28 2 56 -0.074140427591639 1.22614383732297e-06 0.760981845253133 2.11473463964823e-12
chr1.990 2 28 2 56 0.011111111111111 4.48185827132299e-07 0.741047009335664 1.48238811128194e-11
chr1.991 2 28 2 56 -0.015075376884422 2.80167457497652e-10 0.537288807221317 6.88753894429255e-06
chr1.992 2 28 2 56 -0.0635686370298 3.44445849319205e-05 0.289153307962082 0.0138705654764143
chr1.995 2 28 2 56 -0.00436681222707391 5.38696096051174e-12 0.691540868786648 9.408422165635e-10
chr1.996 2 28 2 56 -0.012820512820513 2.7024315756011e-09 0.510601559821384 2.11805483469667e-05
chr1.997 2 28 2 56 0.021505376344086 1.584385984543e-13 0.827596586505538 6.04598547580798e-16
chr1.999 2 28 2 56 -0.0481927710843381 2.19322960946613e-05 0.466415690707649 0.000112226688932942
chr1.1000 2 28 2 56 -0.130769230769231 8.47681329463326e-06 0.711827545364094 1.90740577362563e-10
chr1.1001 2 28 2 56 -0.13594276094276 7.58192125729511e-06 0.64912675346117 1.79741662101268e-08
chr1.1003 2 28 2 56 0.0581723027375209 1.43772273924364e-07 0.74078942186648 1.51629310035433e-11
chr1.1004 2 28 2 56 -0.0379146919431279 0.000505819142787289 0.364228146904905 0.00247146075909961
chr1.1008 2 28 2 56 0.0237874262582389 1.04252936690234e-18 0.944803347946441 4.5514357671609e-29
chr1.1011 2 28 2 56 -0.0472972972972969 0.000999439126526451 0.434733585041718 0.000325879767597183
chr1.1012 2 28 2 56 -0.0645645645645649 1.39259973813746e-06 0.523165580686396 1.2617256867246e-05
chr1.1013 2 28 2 56 0.0196078431372549 4.30416695913022e-07 0.766213719010773 1.231723331403e-12
chr1.1014 2 28 2 56 -0.0105820105820109 9.10970042529844e-08 0.643546593290023 2.56211739357574e-08
chr1.1015 2 28 2 56 -0.0456342979097361 1.20341719246074e-06 0.73266992879932 3.18948284708023e-11
chr1.1017 2 28 2 56 -0.0192307692307689 4.73435858795084e-07 0.758611672381221 2.69599536906415e-12
chr1.1028 2 28 2 56 0 1.13975892312364e-09 0.346960109750127 0.00381894821689079
chr1.1029 2 28 2 56 -0.0348837209302321 3.88569708368873e-06 0.729676339553638 4.17173164613163e-11
chr1.25081 2 28 2 56 -0.021505376344086 1.34206785848671e-06 0.708206024041295 2.55524917145702e-10
chr1.25089 2 28 2 56 -0.0155038759689919 0.000415703495114186 0.169108922173527 0.10222220511693
chr1.25097 2 28 2 56 0.013888888888889 1.31184291781784e-06 0.740932678424105 1.49924437698167e-11
chr1.25098 2 28 2 56 -0.0238095238095229 4.66281371382982e-06 0.724737274105482 6.42286423478645e-11
chr1.25100 2 28 2 56 -0.067719298245614 8.34477406819783e-06 0.706012352758352 3.05471548893863e-10
chr1.25104 2 28 2 56 0.894736842105263 1.30479341498048e-34 0.996729834045432 4.84588246946099e-63
chr1.25135 2 28 2 56 0.913907284768212 1.41820745637504e-36 0.997378745802306 9.9229925496667e-66
chr1.25136 2 28 2 56 0.861702127659574 8.75272484120127e-38 0.9959451106263 1.95645472669681e-60
chr1.25140 2 28 2 56 0.035211267605634 1.40977026104467e-06 0.749793958462551 6.45467700358172e-12
chr1.25141 2 28 2 56 0.017964071856288 6.39335596927492e-07 0.739066851023787 1.78317792064872e-11
chr1.25142 2 28 2 56 -0.058252427184466 3.17506808492893e-06 0.705518517003054 3.17300037088817e-10
chr1.25144 2 28 2 56 0.036036036036036 1.26336623979032e-06 0.715498723079592 1.4078880987227e-10
chr1.25145 2 28 2 56 0.310126582278481 1.29022113271607e-12 0.896846901005602 9.24004427635764e-22
chr1.25147 2 28 2 56 -0.017142857142858 1.08991179913996e-06 0.727019243024899 5.25495563884714e-11
chr1.25148 2 28 2 56 0.018957345971564 1.50830879497454e-06 0.719001830195124 1.04728267076969e-10
chr1.25149 2 28 2 56 0.523316062176165 4.45227983263697e-21 0.970922904280245 1.08725137908946e-36
chr1.25150 2 28 2 56 0.142917251051893 8.5041426387475e-10 0.832470707536942 2.9088243773816e-16
chr1.17010 2 28 2 56 -0.077844311377245 0.0740840569825862 0.182720009519626 0.0848718974497002
chr1.17011 2 28 2 56 0.098550724637682 4.86312450545575e-16 0.883269128878788 2.38995030026655e-20
chr1.17012 2 28 2 56 -0.0155038759689921 6.86088296665954e-07 0.396011561815702 0.00104737241802824
chr1.17013 2 28 2 56 -0.0175900868822111 1.37118861375174e-12 0.594150835882617 4.42435592323818e-07
chr1.17014 2 28 2 56 -0.034965034965035 1.97310960890551e-07 0.508335188493461 2.32338131367095e-05
chr1.17015 2 28 2 56 -0.0909090909090901 0.0107244816745863 0.130129659154474 0.165119071847551
